siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
808448757,SOCIETE BRETONNE DE VOLAILLE,46.32C,GE,Commerce de gros (commerce interentreprises) de volailles et gibier
808636849,CERTAS ENERGY FRANCE,47.30Z,GE,Commerce de détail de carburants en magasin spécialisé
823619804,SIEMENS GAMESA RENEWABLE ENERGY S.A.S.,33.20B,ETI,Installation de machines et équipements mécaniques
823969613,ALGEMENE ELECTRISCHE ONDERNEMINGEN KAMIEL VERSTRAETE,43.21A,PME,Travaux d'installation électrique dans tous locaux
824484653,SONEPAR FRANCE DISTRIBUTION,46.69A,GE,Commerce de gros (commerce interentreprises) de matériel électrique
824515019,CARGLASS SERVICES,45.32Z,GE,Commerce de détail d'équipements automobiles
824538557,ACTION LOGEMENT IMMOBILIER,66.30Z,GE,Gestion de fonds
824543490,AGREGIO SOLUTIONS,46.19B,GE,Autres intermédiaires du commerce en produits divers
850826728,CASPER TOPCO,70.10Z,ETI,Activités des sièges sociaux
850888850,SAGEMCOM GROUP,64.20Z,GE,Activités des sociétés holding
882938616,EURIS HOLDING,66.30Z,GE,Gestion de fonds
883713737,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A.R.L,66.30Z,PME,Gestion de fonds
900217753,SUEZ HOLDING,66.30Z,GE,Gestion de fonds
901283754,HOLDAPAVE,70.10Z,GE,Activités des sièges sociaux
901327379,CIRCET HOLDING,66.30Z,ETI,Gestion de fonds
922245931,AMPERE SAS,66.30Z,GE,Gestion de fonds
922420963,DELTA,82.11Z,ETI,Services administratifs combinés de bureau
951685908,VICTAULIC  EUROPE BV,46.90Z,PME,Commerce de gros (commerce interentreprises) non spécialisé
999990005,STEF,68.20B,GE,Location de terrains et d'autres biens immobiliers
317218758,WORLDLINE IGSA,70.10Z,ETI,Activités des sièges sociaux
317358380,AGCO S.A.S.,28.30Z,ETI,Fabrication de machines agricoles et forestières
318516457,ARIANESPACE,51.22Z,GE,Transports spatiaux
318571064,LOUIS VUITTON MALLETIER,46.49Z,GE,Commerce de gros (commerce interentreprises) d'autres biens domestiques
326300159,TELEVISION FRANCAISE 1,60.20A,GE,Edition de chaînes généralistes
326720471,DUPESSEY HOLDING,46.76Z,ETI,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
326820065,SOPRA STERIA GROUP,62.02A,GE,Conseil en systèmes et logiciels informatiques
339012452,METROPOLE TELEVISION,60.20A,GE,Edition de chaînes généralistes
339379984,SAUR,36.00Z,GE,"Captage, traitement et distribution d'eau"
339993164,START PEOPLE,70.10Z,ETI,Activités des sièges sociaux
355801929,BANQUE FEDERATIVE DU CREDIT MUTUEL,64.19Z,GE,Autres intermédiations monétaires
356000000,LA POSTE,53.10Z,GE,Activités de poste dans le cadre d'une obligation de service universel
357200054,ROQUETTE FRERES,10.62Z,GE,Fabrication de produits amylacés
358200913,GROUPE ADEO,70.10Z,GE,Activités des sièges sociaux
364800060,COVIVIO,68.20B,ETI,Location de terrains et d'autres biens immobiliers
369200167,FRANCAISE DE MECANIQUE,29.10Z,GE,Construction de véhicules automobiles
377913728,VILMORIN & CIE,70.10Z,GE,Activités des sièges sociaux
377994553,APRIL,70.10Z,ETI,Activités des sièges sociaux
378168470,MBDA FRANCE,25.40Z,GE,Fabrication d'armes et de munitions
378176291,COFIDIS GROUP,64.20Z,GE,Activités des sociétés holding
378291504,CARAVANES LA MANCELLE,29.20Z,GE,Fabrication de carrosseries et remorques
393712286,SEPHORA,47.75Z,GE,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
394400121,BASELL POLYOLEFINES FRANCE,20.16Z,GE,Fabrication de matières plastiques de base
394583678,NESTLE PURINA PETCARE COMMERCIAL OPERATIONS FRANCE OU NPPCOF,46.38B,GE,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
412280737,SNCF RESEAU,52.21Z,GE,Services auxiliaires des transports terrestres
412329898,SPIE BELGIUM,42.11Z,,Construction de routes et autoroutes
412399792,COOKSON METAUX PRECIEUX,46.48Z,ETI,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
412824682,FORACO INTERNATIONAL,64.20Z,PME,Activités des sociétés holding
425127362,FMC AUTOMOBILES,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
425920352,ANCIENS ETS G.SCHIEVER ET FILS,70.10Z,ETI,Activités des sièges sociaux
428096796,FIMAS,64.20Z,ETI,Activités des sociétés holding
428240287,CARREFOUR SUPPLY CHAIN,52.10B,GE,Entreposage et stockage non frigorifique
428264915,H GCC,70.10Z,ETI,Activités des sièges sociaux
428268023,DISTRIBUTION CASINO FRANCE,47.11F,GE,Hypermarchés
440055861,SPIE BUILDING SOLUTIONS,43.21A,GE,Travaux d'installation électrique dans tous locaux
440117620,NATRAN,49.50Z,GE,Transports par conduites
440191336,ALPIQ ENERGIE FRANCE SAS,35.14Z,ETI,Commerce d'électricité
440252666,SOCIETE D'ENRICHISSEMENT DU TRICASTIN,20.13A,GE,Enrichissement et  retraitement de matières nucléaires
440283752,CSF,46.39B,GE,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
440294510,SAGEMCOM BROADBAND SAS,46.52Z,GE,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
440410637,GROUPE SEB FRANCE,46.49Z,GE,Commerce de gros (commerce interentreprises) d'autres biens domestiques
440674364,SWISS INTERNATIONAL AIR LINES SA,51.10Z,PME,Transports aériens de passagers
440726289,GRANT THORNTON & ASSOCIES,69.20Z,ETI,Activités comptables
440849016,SAS VESTAS FRANCE,46.69A,ETI,Commerce de gros (commerce interentreprises) de matériel électrique
440919777,PFL,64.20Z,ETI,Activités des sociétés holding
441133808,NAVAL GROUP,30.11Z,GE,Construction de navires et de structures flottantes
478548449,MFC PROU-INVESTISSEMENT,64.20Z,ETI,Activités des sociétés holding
478711161,SPIE BATIGNOLLES,70.10Z,GE,Activités des sièges sociaux
478725625,GIFI MAG,47.19B,GE,Autres commerces de détail en magasin non spécialisé
478921612,KPMG ASSOCIES,66.30Z,GE,Gestion de fonds
479054033,A R FINANCE,66.22Z,,Activités des agents et courtiers d'assurances
479162695,VALEO ELECTRIFICATION,29.31Z,GE,Fabrication d'équipements électriques et électroniques automobiles
479463044,NESTLE WATERS MARKETING & DISTRIBUTION,46.34Z,GE,Commerce de gros (commerce interentreprises) de boissons
479539447,SODIMAX EXPLOITATION,70.10Z,ETI,Activités des sièges sociaux
479697476,AUTOMOTIVE PARTS AND SERVICES GROUP,70.10Z,ETI,Activités des sièges sociaux
479766842,CAPGEMINI TECHNOLOGY SERVICES,62.02A,GE,Conseil en systèmes et logiciels informatiques
479890048,QORVO UK LIMITED,62.01Z,PME,Programmation informatique
488862368,GSE,71.12B,ETI,"Ingénierie, études techniques"
489099903,EUROPCAR MOBILITY GROUP,70.10Z,GE,Activités des sièges sociaux
489179713,KUWAIT PETROLEUM AVIATION FRANCE SAS,46.71Z,ETI,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
489504332,ONET SA,70.10Z,GE,Activités des sièges sociaux
489967687,EDF PRODUCTION ELECTRIQUE INSULAIRE SAS,35.11Z,GE,Production d'électricité
490122975,BASELL SALES AND MARKETING COMPANY BV,46.12B,GE,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
501193171,ES ENERGIES STRASBOURG,35.14Z,GE,Commerce d'électricité
501428437,AGCO DISTRIBUTION S.A.S.,46.61Z,ETI,Commerce de gros (commerce interentreprises) de matériel agricole
501493605,ORANO MINING,46.72Z,GE,Commerce de gros (commerce interentreprises) de minerais et métaux
501651616,APERAM STAINLESS FRANCE,24.10Z,GE,Sidérurgie
501706170,GAZELENERGIE SOLUTIONS,35.13Z,GE,Distribution d'électricité
517635009,TOTALENERGIES GLNG AUSTRALIA,09.10Z,GE,Activités de soutien à l'extraction d'hydrocarbures
518495353,COMCAST INTERNATIONAL FRANCE SAS,62.01Z,ETI,Programmation informatique
532991429,DEMATHIEU & BARD INVESTISSEMENT,64.20Z,,Activités des sociétés holding
533023362,DEMATHIEU & BARD GROUPE,64.20Z,,Activités des sociétés holding
533247979,TEREOS FRANCE,10.81Z,GE,Fabrication de sucre
533837142,SAINT JUDIST EXPANSION,64.20Z,ETI,Activités des sociétés holding
533960407,IDEMIA GROUP,70.10Z,GE,Activités des sièges sociaux
786920306,CORA,47.11F,GE,Hypermarchés
788593218,MGTS CONCEPTION,71.12B,GE,"Ingénierie, études techniques"
800437410,POMPAC DEVELOPPEMENT,66.30Z,GE,Gestion de fonds
800552572,ICELANDAIR EHF.,51.10Z,PME,Transports aériens de passagers
800622862,ALTRAD PARTICIPATIONS,64.20Z,GE,Activités des sociétés holding
801076134,SOUFFLET NEGOCE BY INVIVO,46.21Z,GE,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
801720533,FINANCIERE TOP MENDEL,82.99Z,ETI,Autres activités de soutien aux entreprises n.c.a.
801720541,FINANCIERE DARWIN I,82.99Z,,Autres activités de soutien aux entreprises n.c.a.
814811592,NOVARES GROUP,70.22Z,ETI,Conseil pour les affaires et autres conseils de gestion
814868550,FAMILLE C,70.10Z,ETI,Activités des sièges sociaux
815154851,EURIAL LAIT,46.33Z,GE,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
815232848,POLYTECHNYL,20.16Z,ETI,Fabrication de matières plastiques de base
828311415,ZF INVEST,70.10Z,GE,Activités des sièges sociaux
828487975,ZF BIDCO,66.30Z,GE,Gestion de fonds
842837080,BARCLAYS BANK IRELAND PLC,64.19Z,ETI,Autres intermédiations monétaires
843626227,FLUOR CONSULTANT BV,46.90Z,PME,Commerce de gros (commerce interentreprises) non spécialisé
843655549,NETFLIX SERVICES FRANCE S.A.S.,60.20B,ETI,Edition de chaînes thématiques
902925288,RENAULT ELECTRICITY,29.10Z,GE,Construction de véhicules automobiles
903199800,VIVALTO SANTE 3,66.30Z,GE,Gestion de fonds
920350477,MANUTAN HOLDING,64.20Z,ETI,Activités des sociétés holding
946051018,SYSTEME U EST,78.30Z,PME,Autre mise à disposition de ressources humaines
982640146,TOTALENERGIES EP WAHA,09.10Z,GE,Activités de soutien à l'extraction d'hydrocarbures
7080021,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST,46.17A,ETI,Centrales d'achat alimentaires
16250029,APRR,52.21Z,GE,Services auxiliaires des transports terrestres
36510865,SOMDIA,46.21Z,GE,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
54500574,RALLYE,70.10Z,GE,Activités des sièges sociaux
54807284,COMPAGNIE DAHER,70.10Z,GE,Activités des sièges sociaux
55800296,FNAC DARTY,70.10Z,GE,Activités des sièges sociaux
55804124,BOLLORE SE,22.21Z,GE,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
55812440,BELLON,70.10Z,GE,Activités des sièges sociaux
56501711,BECTON DICKINSON FRANCE,32.50A,GE,Fabrication de matériel médico-chirurgical et dentaire
56502248,SAMSE,46.73A,GE,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
56800659,SNEF,43.21A,GE,Travaux d'installation électrique dans tous locaux
56801046,COMPAGNIE DE L'ODET,64.20Z,GE,Activités des sociétés holding
57505539,VICAT,23.51Z,ETI,Fabrication de ciment
318919065,MAN TRUCK & BUS FRANCE,45.19Z,GE,Commerce d'autres véhicules automobiles
319137576,PIERRE FABRE DERMO-COSMETIQUE,20.42Z,GE,Fabrication de parfums et de produits pour la toilette
319159877,THALES LAS FRANCE SAS,26.51A,GE,Fabrication d'équipements d'aide à la navigation
319267134,JC DECAUX HOLDING,70.10Z,ETI,Activités des sièges sociaux
319378832,BNP PARIBAS ASSET MANAGEMENT EUROPE,66.30Z,GE,Gestion de fonds
319493953,COOPERATIVE D'APPROVISIONNEMENT NORMANDE,46.17A,ETI,Centrales d'achat alimentaires
319632790,ARKEMA FRANCE,20.14Z,GE,Fabrication d'autres produits chimiques organiques de base
319851408,SOCIETE VEHICULES AUTOMOBILES BATILLY,29.10Z,GE,Construction de véhicules automobiles
320252489,BPIFRANCE,64.92Z,GE,Autre distribution de crédit
320353576,PEUGEOT CITROEN POISSY SNC,29.10Z,GE,Construction de véhicules automobiles
320366446,LAGARDERE SA,70.10Z,GE,Activités des sièges sociaux
329035422,YAMAHA MOTOR MANUFACTURING EUROPE,30.91Z,ETI,Fabrication de motocycles
329211734,SOCIETE D'EDITION DE CANAL PLUS,60.20A,GE,Edition de chaînes généralistes
329338883,COLAS FRANCE,42.11Z,GE,Construction de routes et autoroutes
329764625,CLARANOVA S.E.,70.10Z,PME,Activités des sièges sociaux
329892368,DIAC LOCATION,77.11B,GE,Location de longue durée de voitures et de véhicules automobiles légers
329925010,SYNERGIE,78.20Z,ETI,Activités des agences de travail temporaire
330139403,GOODYEAR FRANCE,45.31Z,ETI,Commerce de gros d'équipements automobiles
341737062,CNP ASSURANCES,65.11Z,GE,Assurance vie
341984839,EMIL FREY HOLDING FRANCE,64.20Z,GE,Activités des sociétés holding
342021458,CAT.SA,66.22Z,GE,Activités des agents et courtiers d'assurances
342252400,EXEL,64.20Z,ETI,Activités des sociétés holding
342376332,ILIAD,82.99Z,GE,Autres activités de soutien aux entreprises n.c.a.
342439320,OPEL FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
342547361,YVES SAINT LAURENT,74.10Z,GE,Activités spécialisées de design
351528229,DELL.,46.51Z,GE,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
351571757,GL EVENTS,70.10Z,ETI,Activités des sièges sociaux
351572888,SODIAAL UNION,46.33Z,GE,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
351745724,MEUBLES IKEA FRANCE,47.59A,GE,Commerce de détail de meubles
351808449,EDEN AUTO,70.22Z,ETI,Conseil pour les affaires et autres conseils de gestion
351867692,TEMSYS,77.11B,GE,Location de longue durée de voitures et de véhicules automobiles légers
352014955,CANDIA,10.51A,GE,Fabrication de lait liquide et de produits frais
352050512,SAFRAN NACELLES,30.30Z,GE,Construction aéronautique et spatiale
352170013,NORTH ATLANTIC CHEMICAL,20.16Z,GE,Fabrication de matières plastiques de base
352256424,ARVAL SERVICE LEASE,77.11B,GE,Location de longue durée de voitures et de véhicules automobiles légers
352383715,AIRBUS HELICOPTERS,30.30Z,GE,Construction aéronautique et spatiale
352463574,MARTIN BELAYSOUD EXPANSION,70.10Z,ETI,Activités des sièges sociaux
352474274,FAMILLE FAIVELEY PARTICIPATIONS,70.10Z,,Activités des sièges sociaux
383850278,EURO DISNEY VACANCES SAS,79.12Z,GE,Activités des voyagistes
383915295,KIA FRANCE,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
383960135,CHRONOPOST,53.20Z,GE,Autres activités de poste et de courrier
383986874,COOPERL ARC ATLANTIQUE,10.11Z,GE,Transformation et conservation de la viande de boucherie
384006029,CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES,64.19Z,GE,Autres intermédiations monétaires
384169926,ARROW ECS,46.51Z,ETI,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
384174348,FREELANCE.COM,62.02A,ETI,Conseil en systèmes et logiciels informatiques
384500229,FINANSOD,70.22Z,ETI,Conseil pour les affaires et autres conseils de gestion
384560942,LEROY MERLIN FRANCE,47.52B,GE,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
384711909,SOITEC,26.11Z,ETI,Fabrication de composants électroniques
384783239,MARSEILLAN,64.20Z,GE,Activités des sociétés holding
384846432,DISTRIBUTION LEADER PRICE SNC,46.17A,GE,Centrales d'achat alimentaires
385006234,PRO A PRO,46.39B,GE,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
385110234,SOCIETE COOPERATIVE AGRICOLE UNEAL,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
385123161,ORTEC EXPANSION,64.20Z,GE,Activités des sociétés holding
395006398,COUTIER DEVELOPPEMENT,70.10Z,ETI,Activités des sièges sociaux
395030844,SANOFI,70.10Z,GE,Activités des sièges sociaux
397471822,EURO DISNEY ASSOCIES SAS,93.21Z,GE,Activités des parcs d'attractions et parcs à thèmes
397479635,ETABLISSEMENTS THEVENIN & DUCROT,64.20Z,ETI,Activités des sociétés holding
397480930,BOUYGUES TELECOM,61.20Z,GE,Télécommunications sans fil
397971334,TOSHIBA EUROPE GMBH,46.51Z,PME,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
398138545,INETUM MODERNISATION SOLUTIONS,62.02A,GE,Conseil en systèmes et logiciels informatiques
404494387,LE PARADIS DU FRUIT,56.10C,,Restauration de type rapide
404495566,AMARI METAL FRANCE,64.20Z,ETI,Activités des sociétés holding
419339965,KBC BANK,64.19Z,PME,Autres intermédiations monétaires
432766947,FRANCE TELEVISIONS,60.20A,GE,Edition de chaînes généralistes
433082476,AGARIK SAS,63.11Z,GE,"Traitement de données, hébergement et activités connexes"
433085149,MONDELEZ FRANCE BISCUITS PRODUCTION SAS,10.72Z,GE,"Fabrication de biscuits, biscottes et pâtisseries de conservation"
433466570,VIGIE,70.10Z,,Activités des sièges sociaux
433623550,PFIZER,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
433744539,ELECTRO DEPOT FRANCE,47.54Z,GE,Commerce de détail d'appareils électroménagers en magasin spécialisé
433900834,BOUYGUES BATIMENT ILE DE FRANCE,41.20B,GE,Construction d'autres bâtiments
433927332,TRANSGOURMET OPERATIONS,46.39B,ETI,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
433934809,VEOLIA CENTRAL & EASTERN EUROPE,64.30Z,GE,Fonds de placement et entités financières similaires
444346795,NEXITY,70.10Z,GE,Activités des sièges sociaux
444523567,GROUPE DUVAL,68.32A,ETI,Administration d'immeubles et autres biens immobiliers
444608442,ENEDIS,35.13Z,GE,Distribution d'électricité
444619258,RTE RESEAU DE TRANSPORT D ELECTRICITE,35.12Z,GE,Transport d'électricité
444718563,ARCELORMITTAL ATLANTIQUE ET LORRAINE,24.10Z,,Sidérurgie
444786511,GRDF,35.22Z,GE,Distribution de combustibles gazeux par conduites
444816078,ENI SPA,82.99Z,ETI,Autres activités de soutien aux entreprises n.c.a.
445074685,ARKEMA,70.10Z,GE,Activités des sièges sociaux
479973513,REXEL,64.20Z,GE,Activités des sociétés holding
480055680,ATOS INVESTISSEMENT 10,62.02A,GE,Conseil en systèmes et logiciels informatiques
480107911,SAFRAN ELECTRONICS & DEFENSE,26.51A,GE,Fabrication d'équipements d'aide à la navigation
480218544,HERE EUROPE B.V.,63.11Z,GE,"Traitement de données, hébergement et activités connexes"
481043040,EUTELSAT COMMUNICATIONS,70.10Z,ETI,Activités des sièges sociaux
481278240,LENOVO FRANCE SAS,46.51Z,ETI,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
491807145,WFS GLOBAL HOLDING,70.10Z,ETI,Activités des sièges sociaux
491974861,DERICHEBOURG ENVIRONNEMENT,38.32Z,GE,Récupération de déchets triés
492042338,FINANCIERE SPIE BATIGNOLLES,64.20Z,,Activités des sociétés holding
492133947,GROUPE MOBALI-BANDA,70.22Z,,Conseil pour les affaires et autres conseils de gestion
492203815,VARO ENERGY FRANCE SAS,46.71Z,ETI,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
492273438,NOVARTEX,64.30Z,PME,Fonds de placement et entités financières similaires
492791306,TRANSAVIA FRANCE,51.10Z,GE,Transports aériens de passagers
492851266,FINANCIERE TRUCK (INVESTISSEMENT),64.20Z,ETI,Activités des sociétés holding
507523801,SNCF GARES & CONNEXIONS,52.21Z,GE,Services auxiliaires des transports terrestres
508311214,PURPLE DEVELOPMENT,70.22Z,PME,Conseil pour les affaires et autres conseils de gestion
521477851,TRANSDEV GROUP,52.21Z,GE,Services auxiliaires des transports terrestres
521913798,SOCIETE VALMY DEFENSE 38 EN ABREGE SVD 38,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
522493196,KEYRUS MANAGEMENT,70.22Z,ETI,Conseil pour les affaires et autres conseils de gestion
535323174,PROMAN EXPANSION,70.10Z,GE,Activités des sièges sociaux
535420533,CONFRATERNELLE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE RHIN RHONE MEDITERRANEE,46.46Z,ETI,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
535720700,COMPAGNIE INDUSTRIELLE DE DELLE,64.20Z,PME,Activités des sociétés holding
536820269,LISI,70.10Z,ETI,Activités des sièges sociaux
718200611,SOC COOP APPROVISIONNEMENT PARIS NORD,46.17A,ETI,Centrales d'achat alimentaires
722000965,BMW FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
722003936,MCDONALD'S FRANCE,68.20B,GE,Location de terrains et d'autres biens immobiliers
722032778,BASSAC,66.30Z,ETI,Gestion de fonds
722041860,BUT INTERNATIONAL,47.59A,GE,Commerce de détail de meubles
722049459,TRIGANO,70.10Z,GE,Activités des sièges sociaux
722063997,SOC DES ATELIERS LOUIS VUITTON,15.12Z,GE,"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
722065638,TD SYNNEX FRANCE,46.51Z,ETI,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
729800821,ZODIAC AEROSPACE,70.10Z,,Activités des sièges sociaux
732075312,ACCENTURE,62.02A,GE,Conseil en systèmes et logiciels informatiques
784393530,RUBIS,64.20Z,GE,Activités des sociétés holding
784608416,CREDIT AGRICOLE SA,64.19Z,GE,Autres intermédiations monétaires
784939688,PICARD SURGELES,47.11A,GE,Commerce de détail de produits surgelés
785304031,CLAAS TRACTOR SAS,28.30Z,ETI,Fabrication de machines agricoles et forestières
785386319,BURELLE,66.30Z,ETI,Gestion de fonds
785480351,SUPERMARCHES MATCH,47.11D,GE,Supermarchés
799234430,TOTALENERGIES EP ANGOLA BLOCK 32,09.10Z,GE,Activités de soutien à l'extraction d'hydrocarbures
799292842,CELENA,64.20Z,,Activités des sociétés holding
799318738,SICA SAS AXEREAL,46.21Z,GE,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
799339312,EULER HERMES,65.12Z,GE,Autres assurances
799403050,AVRIL,70.10Z,GE,Activités des sièges sociaux
799403076,AVRIL GESTION,64.20Z,PME,Activités des sociétés holding
812053403,WFS ACQUISITION SAS,82.99Z,ETI,Autres activités de soutien aux entreprises n.c.a.
812163913,VERALLIA,64.20Z,ETI,Activités des sociétés holding
812375624,IWIP,46.77Z,GE,Commerce de gros (commerce interentreprises) de déchets et débris
821763844,LOCKEED MARTIN GLOBAL INC.,26.40Z,PME,Fabrication de produits électroniques grand public
831763743,CONSTELLIUM SE,66.30Z,GE,Gestion de fonds
832277370,VOLKSWAGEN GROUP FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
832509285,BORDEAUX METROPOLE ENERGIES,70.10Z,ETI,Activités des sièges sociaux
844936781,GROUPE SPIE BATIGNOLLES,64.20Z,GE,Activités des sociétés holding
847120185,SAVENCIA SA,64.20Z,GE,Activités des sociétés holding
879556363,FINANCIERE SENIOR CINQUS,66.30Z,ETI,Gestion de fonds
880005756,TOTALENERGIES - CENTRALE ELECTRIQUE SAINT-AVOLD,35.11Z,GE,Production d'électricité
880039243,BPCE ASSURANCES,64.20Z,GE,Activités des sociétés holding
890897978,TATA SIA AIRLINES LIMITED,51.10Z,ETI,Transports aériens de passagers
891871048,VIVALTO SANTE HOLDING 3,70.10Z,GE,Activités des sièges sociaux
901528869,SOCIETE DE COORDINATION BRENNUS,66.19B,PME,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a."
901644989,SUEZ,82.99Z,GE,Autres activités de soutien aux entreprises n.c.a.
901655944,DELPHARM,64.20Z,ETI,Activités des sociétés holding
911748754,TREVISE HOLDINGS 3,64.20Z,GE,Activités des sociétés holding
998823504,ADECCO FRANCE,78.20Z,GE,Activités des agences de travail temporaire
